start,end,distance,time,service
65191,65071,0.5,2,3
65071,65151,0.4,2,3
65151,65161,0.3,1,3
65161,65171,0.5,2,3
65171,65231,0.6,2,3
65231,65269,0.4,2,3
65269,65279,0.5,2,3
65279,65289,0.5,2,3
65289,65229,0.3,1,3
65229,65009,0.5,2,3
65009,65221,0.6,2,3
65221,65281,0.3,1,3
65281,65271,0.5,2,3
65271,65261,0.6,2,3
65261,65239,0.5,2,3
65239,65179,0.6,2,3
65179,65169,0.4,2,3
65169,65159,0.5,2,3
65159,65079,0.3,1,3
65079,65199,0.4,2,3
65009,65201,0.5,2,62
65201,65151,0.4,2,62
65151,65161,0.3,1,62
65161,65171,0.5,2,62
65171,65529,0.5,2,62
65521,65179,0.6,2,62
65179,65169,0.4,2,62
65169,65159,0.5,2,62
65159,65209,0.4,2,62
65209,65009,0.5,2,62
65009,65221,0.6,2,83
65221,65281,0.3,1,83
65281,65271,0.5,2,83
65271,65261,0.6,2,83
65261,65239,0.5,2,83
65239,65179,0.6,2,83
65179,65169,0.4,2,83
65169,65159,0.5,2,83
65159,65079,0.3,1,83
65071,65151,0.4,2,83
65151,65161,0.3,1,83
65161,65171,0.5,2,83
65171,65231,0.6,2,83
65231,65269,0.4,2,83
65269,65279,0.5,2,83
65279,65289,0.5,2,83
65289,65229,0.3,1,83
65229,65009,0.5,2,83
65071,65151,0.4,2,136
65151,65241,0.2,1,136
65241,65289,0.4,2,136
65289,65229,0.3,1,136
65229,65009,0.5,2,136
65009,65221,0.6,2,136
65221,65281,0.3,1,136
65281,65249,0.3,1,136
65249,65159,0.3,1,136
65159,65079,0.3,1,136
65309,65319,0.5,2,666
65319,65329,0.5,2,666
65329,65189,0.5,2,666
65189,65239,0.4,2,666
65239,65179,0.6,2,666
65179,65169,0.4,2,666
65169,65159,0.5,2,666
65159,65209,0.4,2,666
65209,65341,0.4,2,666
65341,65331,0.3,1,666
65331,65431,0.3,1,666
65439,65339,0.3,1,666
65339,65349,0.3,1,666
65349,65201,0.3,1,666
65201,65151,0.4,2,666
65151,65161,0.3,1,666
65161,65171,0.5,2,666
65171,65231,0.6,2,666
65231,65181,0.3,1,666
65181,65321,0.4,2,666
65321,65311,0.5,2,666
65311,65301,0.5,2,666
65071,65151,0.4,2,6N
65151,65161,0.3,1,6N
65161,65171,0.5,2,6N
65171,65231,0.6,2,6N
65231,65269,0.4,2,6N
65269,65279,0.5,2,6N
65279,65289,0.5,2,6N
65289,65229,0.3,1,6N
65229,65219,0.3,1,6N
65219,65201,0.4,2,6N
65009,65221,0.6,2,34
65221,65089,0.4,2,34
65089,65079,0.3,1,34
65079,65199,0.4,2,34
65191,65071,0.5,2,34
65071,65081,0.3,1,34
65081,65229,0.3,1,34
65229,65009,0.5,2,34
65009,65201,0.5,2,82
65201,65079,0.3,1,82
65071,65209,0.3,1,82
65209,65009,0.5,2,82
65009,65341,0.6,2,381
65341,65331,0.3,1,381
65331,65149,0.4,2,381
65149,65401,0.3,1,381
65401,65251,0.5,2,381
65251,65221,0.2,1,381
65221,65281,0.3,1,381
65281,65249,0.3,1,381
65249,65161,0.4,2,381
65161,65171,0.5,2,381
65171,65231,0.6,2,381
65231,65181,0.3,1,381
65181,65561,0.3,1,381
65561,65569,0.5,2,381
65569,65189,0.2,1,381
65189,65239,0.4,2,381
65239,65179,0.6,2,381
65179,65169,0.4,2,381
65169,65241,0.4,2,381
65241,65289,0.4,2,381
65289,65229,0.3,1,381
65229,65259,0.5,2,381
65259,65409,0.3,1,381
65409,65141,0.4,2,381
65141,65339,0.3,1,381
65339,65349,0.3,1,381
65349,65009,0.5,2,381
65009,65259,0.4,2,118
65259,65409,0.3,1,118
65409,65141,0.4,2,118
65141,65431,0.2,1,118
65431,65199,1.3,5,118
65191,65439,1.4,5,118
65439,65149,0.4,2,118
65149,65401,0.3,1,118
65401,65009,0.7,3,118
65009,65221,0.6,2,386
65221,65281,0.3,1,386
65281,65381,0.3,1,386
65381,65391,0.5,2,386
65391,65319,0.6,2,386
65319,65371,0.6,2,386
65371,65419,0.6,2,386
65419,65429,0.4,2,386
65429,65171,0.3,1,386
65171,65231,0.6,2,386
65231,65269,0.4,2,386
65269,65411,0.5,2,386
65411,65379,0.6,2,386
65379,65311,0.5,2,386
65311,65399,0.8,3,386
65399,65389,0.5,2,386
65389,65289,0.4,2,386
65289,65229,0.3,1,386
65229,65009,0.5,2,386
65009,65221,0.6,2,85
65221,65281,0.3,1,85
65281,65271,0.5,2,85
65271,65261,0.6,2,85
65261,65239,0.5,2,85
65239,65529,0.4,2,85
65521,65231,0.5,2,85
65231,65269,0.4,2,85
65269,65279,0.5,2,85
65279,65289,0.5,2,85
65289,65229,0.3,1,85
65229,65009,0.5,2,85
65521,65231,0.5,2,50
65231,65181,0.3,1,50
65181,65321,0.4,2,50
65321,65311,0.5,2,50
65311,65301,0.5,2,50
65301,65351,0.7,3,50
65351,65009,0.5,2,50
65009,65359,0.6,2,50
65359,65309,0.7,3,50
65309,65319,0.5,2,50
65319,65329,0.5,2,50
