start,end,distance,time,service
65159,821101A,0.1,1.0,BUS-HDB
65151,821101A,0.1,2.0,BUS-HDB
65079,821101A,0.2,2.0,BUS-HDB
65159,822101B,0.1,2.0,BUS-HDB
65151,822101B,0.1,2.0,BUS-HDB
65241,822101B,0.2,2.0,BUS-HDB
65159,823101C,0.1,1.0,BUS-HDB
65151,823101C,0.1,1.0,BUS-HDB
65241,823101C,0.2,2.0,BUS-HDB
65159,824101D,0.1,1.0,BUS-HDB
65151,824101D,0.1,1.0,BUS-HDB
65079,824101D,0.2,2.0,BUS-HDB
65241,824101D,0.2,2.0,BUS-HDB
65159,821102A,0.0,0.0,BUS-HDB
65151,821102A,0.1,1.0,BUS-HDB
65079,821102A,0.1,1.0,BUS-HDB
65071,821102A,0.2,2.0,BUS-HDB
65159,822102B,0.1,1.0,BUS-HDB
65151,822102B,0.1,2.0,BUS-HDB
65079,822102B,0.1,1.0,BUS-HDB
65071,822102B,0.2,2.0,BUS-HDB
65159,823102C,0.1,2.0,BUS-HDB
65151,823102C,0.2,2.0,BUS-HDB
65079,823102C,0.0,0.0,BUS-HDB
65071,823102C,0.1,1.0,BUS-HDB
65159,824102D,0.1,1.0,BUS-HDB
65151,824102D,0.2,2.0,BUS-HDB
65079,824102D,0.1,1.0,BUS-HDB
65071,824102D,0.1,1.0,BUS-HDB
65159,821103A,0.2,2.0,BUS-HDB
65079,821103A,0.1,1.0,BUS-HDB
65071,821103A,0.1,1.0,BUS-HDB
65079,822103B,0.1,2.0,BUS-HDB
65071,822103B,0.1,1.0,BUS-HDB
65079,823103C,0.2,2.0,BUS-HDB
65071,823103C,0.1,2.0,BUS-HDB
65199,821104A,0.1,2.0,BUS-HDB
65199,822104B,0.1,1.0,BUS-HDB
65191,822104B,0.2,2.0,BUS-HDB
65199,821105A,0.1,2.0,BUS-HDB
65199,822105B,0.2,2.0,BUS-HDB
65159,823105C,0.2,2.0,BUS-HDB
65151,823105C,0.2,2.0,BUS-HDB
65079,823105C,0.2,2.0,BUS-HDB
65071,823105C,0.2,2.0,BUS-HDB
65071,824105D,0.2,2.0,BUS-HDB
65199,824105D,0.2,2.0,BUS-HDB
65161,821106A,0.1,1.0,BUS-HDB
65169,821106A,0.1,1.0,BUS-HDB
65161,822106B,0.1,1.0,BUS-HDB
65169,822106B,0.1,2.0,BUS-HDB
65241,823106C,0.2,2.0,BUS-HDB
65161,823106C,0.1,2.0,BUS-HDB
65169,823106C,0.2,2.0,BUS-HDB
65151,824106D,0.2,2.0,BUS-HDB
65241,824106D,0.2,2.0,BUS-HDB
65161,824106D,0.2,2.0,BUS-HDB
65151,821107A,0.2,2.0,BUS-HDB
65161,822107B,0.2,2.0,BUS-HDB
65161,823107C,0.1,2.0,BUS-HDB
65169,823107C,0.2,2.0,BUS-HDB
65161,824107D,0.1,2.0,BUS-HDB
65169,824107D,0.1,2.0,BUS-HDB
65169,822109B,0.2,2.0,BUS-HDB
65169,823109C,0.1,2.0,BUS-HDB
65161,824109D,0.2,2.0,BUS-HDB
65169,824109D,0.1,1.0,BUS-HDB
65161,821110A,0.1,2.0,BUS-HDB
65169,821110A,0.0,1.0,BUS-HDB
65169,822110B,0.1,1.0,BUS-HDB
65169,823110C,0.2,2.0,BUS-HDB
65199,820111,0.1,2.0,BUS-HDB
65199,820112,0.2,2.0,BUS-HDB
65169,820114,0.2,2.0,BUS-HDB
65199,820115,0.2,2.0,BUS-HDB
65191,820115,0.2,2.0,BUS-HDB
65199,820116,0.1,2.0,BUS-HDB
65191,820116,0.2,2.0,BUS-HDB
65199,820117,0.1,1.0,BUS-HDB
65191,820117,0.1,2.0,BUS-HDB
65199,820118,0.1,1.0,BUS-HDB
65191,820118,0.1,2.0,BUS-HDB
65171,821126A,0.1,1.0,BUS-HDB
65179,821126A,0.1,1.0,BUS-HDB
65171,822126B,0.1,1.0,BUS-HDB
65179,822126B,0.1,1.0,BUS-HDB
65171,823126C,0.2,2.0,BUS-HDB
65179,823126C,0.1,2.0,BUS-HDB
65171,824126D,0.1,2.0,BUS-HDB
65179,824126D,0.1,1.0,BUS-HDB
65171,821128A,0.1,1.0,BUS-HDB
65179,821128A,0.1,1.0,BUS-HDB
65171,822128B,0.2,2.0,BUS-HDB
65179,822128B,0.2,2.0,BUS-HDB
65179,823128C,0.2,2.0,BUS-HDB
65171,824128D,0.2,2.0,BUS-HDB
65179,824128D,0.1,2.0,BUS-HDB
65431,828776,0.1,1.0,BUS-HDB
65439,828776,0.1,1.0,BUS-HDB
65431,828777,0.2,2.0,BUS-HDB
65439,828777,0.1,1.0,BUS-HDB
65431,828778,0.2,2.0,BUS-HDB
65439,828778,0.1,2.0,BUS-HDB
65231,821160A,0.1,1.0,BUS-HDB
65239,821160A,0.1,2.0,BUS-HDB
65269,821160A,0.2,2.0,BUS-HDB
65231,822160B,0.1,1.0,BUS-HDB
65239,822160B,0.1,1.0,BUS-HDB
65231,821161A,0.2,2.0,BUS-HDB
65269,821161A,0.1,1.0,BUS-HDB
65261,821161A,0.1,2.0,BUS-HDB
65231,822161B,0.2,2.0,BUS-HDB
65239,822161B,0.2,2.0,BUS-HDB
65269,822161B,0.1,2.0,BUS-HDB
65261,822161B,0.1,2.0,BUS-HDB
65269,821162A,0.1,1.0,BUS-HDB
65261,821162A,0.1,1.0,BUS-HDB
65269,822162B,0.0,1.0,BUS-HDB
65261,822162B,0.1,1.0,BUS-HDB
65269,821163A,0.1,2.0,BUS-HDB
65261,821163A,0.2,2.0,BUS-HDB
65269,822163B,0.2,2.0,BUS-HDB
65261,822163B,0.2,2.0,BUS-HDB
65231,821165A,0.1,2.0,BUS-HDB
65239,821165A,0.2,2.0,BUS-HDB
65269,821165A,0.2,2.0,BUS-HDB
65231,822165B,0.2,2.0,BUS-HDB
65269,822165B,0.2,2.0,BUS-HDB
65231,821166A,0.0,0.0,BUS-HDB
65239,821166A,0.1,1.0,BUS-HDB
65231,822166B,0.1,1.0,BUS-HDB
65239,822166B,0.1,1.0,BUS-HDB
65231,821167A,0.1,1.0,BUS-HDB
65239,821167A,0.1,1.0,BUS-HDB
65231,822167B,0.1,1.0,BUS-HDB
65239,822167B,0.1,1.0,BUS-HDB
65231,823167C,0.1,1.0,BUS-HDB
65239,823167C,0.1,2.0,BUS-HDB
65231,824167D,0.1,2.0,BUS-HDB
65239,824167D,0.2,2.0,BUS-HDB
65231,821168A,0.2,2.0,BUS-HDB
65529,821169A,0.2,2.0,BUS-HDB
65529,822169B,0.2,2.0,BUS-HDB
65231,823169C,0.2,2.0,BUS-HDB
65231,821170A,0.1,2.0,BUS-HDB
65239,821170A,0.1,2.0,BUS-HDB
65231,822170B,0.2,2.0,BUS-HDB
65239,822170B,0.2,2.0,BUS-HDB
65529,823170C,0.2,2.0,BUS-HDB
65231,823170C,0.2,2.0,BUS-HDB
65171,821171A,0.0,0.0,BUS-HDB
65179,821171A,0.1,1.0,BUS-HDB
65171,822171B,0.1,1.0,BUS-HDB
65179,822171B,0.1,1.0,BUS-HDB
65171,823171C,0.2,2.0,BUS-HDB
65179,823171C,0.2,2.0,BUS-HDB
65429,821172A,0.2,2.0,BUS-HDB
65171,821172A,0.1,1.0,BUS-HDB
65179,821172A,0.1,2.0,BUS-HDB
