start,end,distance,time,service
65141,PW7,0.1,1.0,BUS-LRT
65149,PW7,0.1,1.0,BUS-LRT
65619,PW5,0.0,1.0,BUS-LRT
65611,PW5,0.0,1.0,BUS-LRT
65621,PW4,0.0,1.0,BUS-LRT
65629,PW4,0.1,1.0,BUS-LRT
65639,PW3,0.2,2.0,BUS-LRT
65631,PW3,0.1,2.0,BUS-LRT
65489,PW1,0.2,2.0,BUS-LRT
65481,PW1,0.2,2.0,BUS-LRT
65009,NE17,0.1,1.0,BUS-LRT
65251,NE17,0.1,1.0,BUS-LRT
65259,NE17,0.1,1.0,BUS-LRT
65159,PE1,0.1,1.0,BUS-LRT
65151,PE1,0.1,1.0,BUS-LRT
65079,PE1,0.1,2.0,BUS-LRT
65081,PE1,0.2,2.0,BUS-LRT
65161,PE2,0.0,1.0,BUS-LRT
65169,PE2,0.0,1.0,BUS-LRT
65171,PE3,0.1,1.0,BUS-LRT
65179,PE3,0.1,1.0,BUS-LRT
65231,PE4,0.1,1.0,BUS-LRT
65239,PE4,0.0,1.0,BUS-LRT
65329,PE5,0.1,1.0,BUS-LRT
65321,PE5,0.0,0.0,BUS-LRT
65319,PE6,0.1,1.0,BUS-LRT
65311,PE6,0.0,0.0,BUS-LRT
65099,PE7,0.2,2.0,BUS-LRT
65309,PE7,0.1,1.0,BUS-LRT
65301,PE7,0.1,2.0,BUS-LRT
