start,end,distance,time,service
NE17,PE1,1.2,3,EAST
NE17,PE7,1.5,2,EAST
PE1,PE2,0.4,1,EAST
PE1,NE17,1.2,3,EAST
PE2,PE3,0.65,2,EAST
PE2,PE1,0.4,1,EAST
PE3,PE4,0.5,2,EAST
PE3,PE2,0.65,2,EAST
PE4,PE5,0.8,2,EAST
PE4,PE3,0.5,2,EAST
PE5,PE6,0.5,1,EAST
PE5,PE4,0.8,2,EAST
PE6,PE7,0.5,1,EAST
PE6,PE5,0.5,1,EAST
PE7,NE17,1.5,2,EAST
PE7,PE6,0.5,1,EAST
NE17,PW7,1.3,3,WEST
NE17,PW1,0.6,2,WEST
PW7,PW6,0.4,1,WEST
PW7,NE17,1.3,3,WEST
PW6,PW5,0.4,1,WEST
PW6,PW7,0.4,1,WEST
PW5,PW4,0.5,1,WEST
PW5,PW6,0.4,1,WEST
PW4,PW3,0.5,1,WEST
PW4,PW5,0.5,1,WEST
PW3,PW1,1,2,WEST
PW3,PW4,0.5,1,WEST
PW1,NE17,0.6,2,WEST
PW1,PW3,1,2,WEST
