start,end,distance,time,service
PE1,65159,0.1,1.0,LRT-BUS
PE1,65151,0.1,1.0,LRT-BUS
PE1,65079,0.1,2.0,LRT-BUS
PE2,65161,0.0,1.0,LRT-BUS
PE2,65169,0.0,1.0,LRT-BUS
PE3,65171,0.1,1.0,LRT-BUS
PE3,65179,0.1,1.0,LRT-BUS
PE4,65231,0.1,1.0,LRT-BUS
PE4,65239,0.0,1.0,LRT-BUS
PE5,65329,0.1,1.0,LRT-BUS
PE1,65081,0.2,2.0,LRT-BUS
NE17,65009,0.1,1.0,LRT-BUS
PW7,65141,0.1,1.0,LRT-BUS
PW7,65149,0.1,1.0,LRT-BUS
NE17,65251,0.1,1.0,LRT-BUS
PE7,65099,0.2,2.0,LRT-BUS
PE7,65309,0.1,1.0,LRT-BUS
PE7,65301,0.1,2.0,LRT-BUS
PW1,65489,0.2,2.0,LRT-BUS
PW1,65481,0.2,2.0,LRT-BUS
PW5,65619,0.0,1.0,LRT-BUS
PW5,65611,0.0,1.0,LRT-BUS
PE6,65319,0.1,1.0,LRT-BUS
PE6,65311,0.0,0.0,LRT-BUS
PE5,65321,0.0,0.0,LRT-BUS
NE17,65259,0.1,1.0,LRT-BUS
PW4,65621,0.0,1.0,LRT-BUS
PW4,65629,0.1,1.0,LRT-BUS
PW3,65639,0.2,2.0,LRT-BUS
PW3,65631,0.1,2.0,LRT-BUS
