start,end,distance,time,service
PE1,821101A,0.2,2.0,LRT-HDB
PE1,822101B,0.2,2.0,LRT-HDB
PE1,823101C,0.2,2.0,LRT-HDB
PE1,824101D,0.1,1.0,LRT-HDB
PE1,821102A,0.1,1.0,LRT-HDB
PE1,822102B,0.1,1.0,LRT-HDB
PE1,823102C,0.1,1.0,LRT-HDB
PE1,824102D,0.1,1.0,LRT-HDB
PE1,821103A,0.2,2.0,LRT-HDB
PE1,823105C,0.2,2.0,LRT-HDB
PE2,821106A,0.1,1.0,LRT-HDB
PE2,822106B,0.1,1.0,LRT-HDB
PE2,823106C,0.2,2.0,LRT-HDB
PE2,824106D,0.2,2.0,LRT-HDB
PE2,822107B,0.2,2.0,LRT-HDB
PE2,823107C,0.1,2.0,LRT-HDB
PE2,824107D,0.1,1.0,LRT-HDB
PE2,823109C,0.2,2.0,LRT-HDB
PE2,824109D,0.2,2.0,LRT-HDB
PE2,821110A,0.1,1.0,LRT-HDB
PE2,822110B,0.2,2.0,LRT-HDB
PE2,820114,0.2,2.0,LRT-HDB
PE3,821126A,0.1,2.0,LRT-HDB
PE3,822126B,0.2,2.0,LRT-HDB
PE3,824126D,0.2,2.0,LRT-HDB
PE3,821128A,0.0,1.0,LRT-HDB
PE3,822128B,0.1,1.0,LRT-HDB
PE3,823128C,0.2,2.0,LRT-HDB
PE3,824128D,0.1,2.0,LRT-HDB
PE4,821160A,0.1,1.0,LRT-HDB
PE4,822160B,0.1,1.0,LRT-HDB
PE4,821161A,0.2,2.0,LRT-HDB
PE4,822161B,0.2,2.0,LRT-HDB
PE4,821165A,0.2,2.0,LRT-HDB
PE4,821166A,0.1,1.0,LRT-HDB
PE4,822166B,0.1,1.0,LRT-HDB
PE4,821167A,0.1,2.0,LRT-HDB
PE4,822167B,0.1,2.0,LRT-HDB
PE4,823167C,0.2,2.0,LRT-HDB
PE4,824167D,0.2,2.0,LRT-HDB
PE3,821168A,0.2,2.0,LRT-HDB
PE3,822168B,0.2,2.0,LRT-HDB
PE3,823168C,0.1,2.0,LRT-HDB
PE3,824168D,0.2,2.0,LRT-HDB
PE3,822169B,0.2,2.0,LRT-HDB
PE3,823169C,0.2,2.0,LRT-HDB
PE4,821170A,0.2,2.0,LRT-HDB
PE3,821171A,0.1,1.0,LRT-HDB
PE3,822171B,0.1,1.0,LRT-HDB
PE3,823171C,0.1,2.0,LRT-HDB
PE3,823172C,0.2,2.0,LRT-HDB
PE2,821173A,0.1,1.0,LRT-HDB
PE2,822173B,0.1,2.0,LRT-HDB
PE2,823174C,0.2,2.0,LRT-HDB
PE2,824174D,0.1,2.0,LRT-HDB
PE2,821175A,0.1,1.0,LRT-HDB
PE2,822175B,0.1,1.0,LRT-HDB
PE2,823175C,0.2,2.0,LRT-HDB
PE2,822176B,0.2,2.0,LRT-HDB
PE2,823176C,0.2,2.0,LRT-HDB
PE2,824176D,0.1,2.0,LRT-HDB
PE2,820185,0.2,2.0,LRT-HDB
PE1,821196A,0.1,1.0,LRT-HDB
PE1,822196B,0.1,2.0,LRT-HDB
PE1,823196C,0.2,2.0,LRT-HDB
PE1,824196D,0.2,2.0,LRT-HDB
PE1,821197A,0.1,1.0,LRT-HDB
PE1,822197B,0.1,1.0,LRT-HDB
PE1,821199A,0.0,1.0,LRT-HDB
PE1,822199B,0.1,1.0,LRT-HDB
PE1,823199C,0.1,2.0,LRT-HDB
PE1,824199D,0.1,1.0,LRT-HDB
PE1,821202A,0.1,2.0,LRT-HDB
PE1,822202B,0.2,2.0,LRT-HDB
PW7,821256A,0.2,2.0,LRT-HDB
PW7,822256B,0.1,2.0,LRT-HDB
PW7,823256C,0.2,2.0,LRT-HDB
PW7,824256D,0.2,2.0,LRT-HDB
PW7,823258C,0.2,2.0,LRT-HDB
PW7,821260A,0.1,1.0,LRT-HDB
PW7,822260B,0.1,1.0,LRT-HDB
PW7,823260C,0.1,1.0,LRT-HDB
PW7,821261A,0.1,1.0,LRT-HDB
PW7,822261B,0.1,1.0,LRT-HDB
PW7,823261C,0.1,1.0,LRT-HDB
PW7,821264A,0.2,2.0,LRT-HDB
PW7,821265A,0.2,2.0,LRT-HDB
PW7,822265B,0.2,2.0,LRT-HDB
PW7,823265C,0.1,2.0,LRT-HDB
PW7,824265D,0.1,2.0,LRT-HDB
PW7,821266A,0.1,1.0,LRT-HDB
PW7,822266B,0.1,1.0,LRT-HDB
PW7,823266C,0.1,1.0,LRT-HDB
PW7,824266D,0.1,1.0,LRT-HDB
PW7,821267A,0.1,1.0,LRT-HDB
PW7,822267B,0.1,2.0,LRT-HDB
PW7,823267C,0.2,2.0,LRT-HDB
PW7,821268A,0.1,2.0,LRT-HDB
PW7,822268B,0.2,2.0,LRT-HDB
PW6,822308B,0.1,2.0,LRT-HDB
PW6,823308C,0.1,1.0,LRT-HDB
PW5,821312A,0.1,1.0,LRT-HDB
PW5,822312B,0.1,1.0,LRT-HDB
PW5,823312C,0.1,2.0,LRT-HDB
PW5,823313C,0.2,2.0,LRT-HDB
PW6,821314A,0.1,1.0,LRT-HDB
PW6,822314B,0.1,2.0,LRT-HDB
PW6,821315A,0.2,2.0,LRT-HDB
PW6,821316A,0.1,1.0,LRT-HDB
PW6,822316B,0.1,1.0,LRT-HDB
PW5,821326A,0.2,2.0,LRT-HDB
PW5,822326B,0.1,1.0,LRT-HDB
PW5,823326C,0.1,1.0,LRT-HDB
PW5,821327A,0.2,2.0,LRT-HDB
PW5,822327B,0.1,1.0,LRT-HDB
PW5,823327C,0.0,1.0,LRT-HDB
PE7,821603A,0.2,2.0,LRT-HDB
PE7,821604A,0.2,2.0,LRT-HDB
PE7,821612A,0.1,2.0,LRT-HDB
PE7,822612B,0.1,1.0,LRT-HDB
PE7,823612C,0.1,1.0,LRT-HDB
PE7,824612D,0.1,1.0,LRT-HDB
PE7,821613A,0.1,1.0,LRT-HDB
PE7,822613B,0.1,1.0,LRT-HDB
PE7,823613C,0.1,2.0,LRT-HDB
PE7,824613D,0.2,2.0,LRT-HDB
PE7,821614A,0.2,2.0,LRT-HDB
PE7,821615A,0.2,2.0,LRT-HDB
PE6,821617A,0.1,1.0,LRT-HDB
