id,name,latitude,longitude
65159,Cove Stn Exit A,1.399046,103.906049
65151,Cove Stn Exit B,1.39897,103.906672
65079,Blk 102C,1.398938,103.904745
65241,Blk 196C,1.399153,103.907653
65249,Blk 178,1.399653,103.90822
65071,Opp Blk 103A,1.398476,103.904152
65209,Aft Punggol Rd,1.400409,103.903876
65199,Aft Punggol Rd (TPE),1.395746,103.905679
65191,Bef Punggol Road (TPE),1.395081,103.905605
65161,Meridian Stn Exit B,1.397296,103.908696
65169,Meridian Stn Exit A,1.396511,103.909112
65429,Greendale Pr Sch,1.396747,103.912088
65171,Coral Edge Stn Exit B,1.394517,103.912056
65179,Coral Edge Stn Exit A,1.394236,103.911977
65279,Bet Blks 187/188,1.399248,103.911008
65271,Opp Blk 188,1.399955,103.910644
65411,Horizon Pr Sch,1.399453,103.913843
65419,Opp Horizon Pr Sch,1.399448,103.913997
65529,Aft Punggol Field,1.391581,103.914181
65521,Waterwoods,1.390318,103.91294
65231,Riviera Stn Exit B,1.394264,103.915785
65239,Riviera Stn Exit A,1.394101,103.91605
65269,Blk 162B,1.396697,103.91467
65261,Blk 649,1.396958,103.914789
65181,Atf Punggol Ctrl,1.396798,103.917605
65329,Kadaloor Stn Exit A,1.39993,103.916185
65389,Opp Punggol Sec Sch,1.402259,103.910076
65281,Punggol Sec/Blk 601B,1.401957,103.907788
65289,Opp Punggol Sec/Blk 195E,1.401764,103.907652
65381,Punggol Sec Sch,1.402066,103.90979
65089,Opp Blk 296,1.401337,103.905806
65081,Opp Blk 199C,1.400915,103.905318
65229,Blk 298,1.403234,103.905593
65221,Blk 303D,1.40399,103.904781
65091,BLK 301A,1.403968,103.906616
65201,Opp Blk 201A,1.401186,103.902968
65211,Aft Punggol Field (Punggol Pl),1.402724,103.902654
65349,Blk 272C,1.402193,103.900752
65341,Opp Blk 272C,1.402018,103.900526
65331,Opp Blk 268D,1.402866,103.898519
65219,Aft Punggol Ctrl,1.403527,103.903406
65009,Punggol Temporary Bus Interchange,1.40425,103.902284
65339,Blk 268C,1.403252,103.89803
65431,Twin Waterfalls,1.402422,103.8968
65141,Soo Teck Stn,1.404546,103.897167
65439,Aft TPE,1.401728,103.896315
65579,BLK 258A,1.403553,103.896035
65571,BLK 218,1.403475,103.895544
65499,Blk 259 CP,1.404545,103.895012
65491,Opp Blk 259 CP,1.404581,103.894899
65539,Blk 224A,1.402295,103.893698
65531,Blk 226A,1.402397,103.893596
65551,Blk 227A,1.403742,103.893366
65559,Opposite Blk 227A,1.40405,103.8925
65541,Before Sumang Lane,1.403567,103.891196
65549,After Sumang Lane,1.403527,103.891067
65449,Blk 315B,1.408037,103.895882
65441,Opp Blk 315B,1.408167,103.895801
65459,Opp Blk 322 CP,1.410628,103.897701
65451,Blk 322 CP,1.410701,103.89757
65149,Soo Teck Stn,1.404444,103.896918
65401,Opp Blk 264A,1.406541,103.898909
65409,Bef Blk 264,1.40627,103.89961
65251,Punggol Stn,1.405026,103.902999
65359,Punggol PL - Opp Punggol View Pr School,1.405565,103.904367
65099,BLK 604A,1.404477,103.907089
65351,Punggol View Pr Sch,1.405883,103.904736
65309,Damai Stn Exit A,1.404978,103.90916
65301,Damai Stn Exit B,1.404377,103.909627
65489,Aft Punggol Dr,1.408195,103.905703
65481,Bef Punggol Dr,1.408879,103.90607
65101,Aft Punggol Drive,1.407681,103.908528
65109,Bef Punggol Drive,1.407504,103.908783
65469,Blk 310B,1.409865,103.901003
65461,Blk 312 CP,1.409847,103.901286
65619,Nibong Stn Exit A,1.411531,103.90005
65611,Nibong Stn Exit B,1.411391,103.900281
65319,Oasis Stn Exit A,1.402616,103.91246
65311,Oasis Stn Exit B/Blk 617D,1.402044,103.912872
65321,Kadaloor Stn,1.399318,103.916711
65561,Waterway Pr Sch,1.398802,103.919108
65189,Bef Punggol Ctrl,1.396812,103.917952
65569,Opp Waterway Pr Sch,1.398628,103.919214
65379,Blk 661A,1.402786,103.916386
65371,Blk 682A,1.402887,103.916277
65399,Blk 670A,1.405803,103.912604
65391,Blk 672A,1.405879,103.912523
65259,Punggol Stn/Int,1.405314,103.901892
65621,Samudera Stn Exit B,1.416091,103.902477
65629,Samudera Stn Exit A,1.416434,103.902542
65639,Bef Punggol Pt Stn,1.417544,103.905307
65631,Aft Punggol Pt Stn,1.41727,103.905405
65139,Punggol Rd End,1.420629,103.910555
65121,Opp Track 22,1.416691,103.909565
65129,Aft Track 22,1.416371,103.909685
