id,name,latitude,longitude
821101A,101A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821101,1.397946168,103.9059451
822101B,101B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822101,1.397847151,103.9064361
823101C,101C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823101,1.398090458,103.9065693
824101D,101D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824101,1.398484785,103.9061439
821102A,102A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821102,1.398833183,103.9057836
822102B,102B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822102,1.399085258,103.9054714
823102C,102C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823102,1.398761278,103.904939
824102D,102D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824102,1.398480708,103.9052498
821103A,103A EDGEFIELD PLAINS SINGAPORE 821103,1.398255318,103.904754
822103B,103B EDGEFIELD PLAINS SINGAPORE 822103,1.397731275,103.9046854
823103C,103C EDGEFIELD PLAINS SINGAPORE 823103,1.397266608,103.9045384
821104A,104A EDGEFIELD PLAINS SINGAPORE 821104,1.396805705,103.9050542
822104B,104B EDGEFIELD PLAINS SINGAPORE 822104,1.396608862,103.9053038
821105A,105A EDGEFIELD PLAINS SINGAPORE 821105,1.396941332,103.9057295
822105B,105B EDGEFIELD PLAINS SINGAPORE 822105,1.397206464,103.9060023
823105C,105C EDGEFIELD PLAINS SINGAPORE 823105,1.397672035,103.9055988
824105D,105D EDGEFIELD PLAINS SINGAPORE 824105,1.397175309,103.9052296
821106A,106A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821106,1.396604861,103.9083441
822106B,106B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822106,1.397094532,103.9079554
823106C,106C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823106,1.397366642,103.9075622
824106D,106D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824106,1.397626067,103.9073581
821107A,107A EDGEFIELD PLAINS SINGAPORE 821107,1.397198794,103.9068258
822107B,107B EDGEFIELD PLAINS SINGAPORE 822107,1.396837235,103.9072482
823107C,107C EDGEFIELD PLAINS SINGAPORE 823107,1.396621521,103.9076007
824107D,107D EDGEFIELD PLAINS SINGAPORE 824107,1.396238035,103.9080073
821109A,109A EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 821109,1.394721864,103.9098738
822109B,109B EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 822109,1.394956962,103.9096342
823109C,109C EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 823109,1.39517272,103.9092816
824109D,109D EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 824109,1.395529913,103.9088596
821110A,110A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821110,1.396124003,103.9092837
822110B,110B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822110,1.395660239,103.909627
823110C,110C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823110,1.395397332,103.910034
824110D,110D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824110,1.395000712,103.910206
820111,111 EDGEFIELD PLAINS SINGAPORE 820111,1.396677886,103.9065791
820112,112 EDGEFIELD PLAINS SINGAPORE 820112,1.396245169,103.9070873
820114,114 EDGEFIELD PLAINS SINGAPORE 820114,1.395799718,103.9075556
820115,115 EDGEFIELD PLAINS SINGAPORE 820115,1.395128547,103.9072584
820116,116 EDGEFIELD PLAINS SINGAPORE 820116,1.39541568,103.9069122
820117,117 EDGEFIELD PLAINS SINGAPORE 820117,1.395787352,103.9066178
820118,118 EDGEFIELD PLAINS SINGAPORE 820118,1.396207066,103.9061471
