,postal,latitude,longtitude,searchval,blk_no,road_name,building,address
0,821101,1.397946168,103.90594509999998,HDB-PUNGGOL,101A,PUNGGOL FIELD,HDB-PUNGGOL,101A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821101
1,822101,1.397847151,103.9064361,HDB-PUNGGOL,101B,PUNGGOL FIELD,HDB-PUNGGOL,101B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822101
2,823101,1.3980904580000002,103.9065693,HDB-PUNGGOL,101C,PUNGGOL FIELD,HDB-PUNGGOL,101C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823101
3,824101,1.398484785,103.9061439,HDB-PUNGGOL,101D,PUNGGOL FIELD,HDB-PUNGGOL,101D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824101
4,821102,1.398833183,103.90578359999999,HDB-PUNGGOL,102A,PUNGGOL FIELD,HDB-PUNGGOL,102A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821102
5,822102,1.3990852580000002,103.90547140000001,HDB-PUNGGOL,102B,PUNGGOL FIELD,HDB-PUNGGOL,102B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822102
6,823102,1.398761278,103.904939,HDB-PUNGGOL,102C,PUNGGOL FIELD,HDB-PUNGGOL,102C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823102
7,824102,1.3984807080000001,103.9052498,HDB-PUNGGOL,102D,PUNGGOL FIELD,HDB-PUNGGOL,102D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824102
8,821103,1.3982553180000001,103.904754,103A EDGEFIELD PLAINS SINGAPORE 821103,103A,EDGEFIELD PLAINS,NIL,103A EDGEFIELD PLAINS SINGAPORE 821103
9,822103,1.397731275,103.9046854,103B EDGEFIELD PLAINS SINGAPORE 822103,103B,EDGEFIELD PLAINS,NIL,103B EDGEFIELD PLAINS SINGAPORE 822103
10,823103,1.397266608,103.9045384,103C EDGEFIELD PLAINS SINGAPORE 823103,103C,EDGEFIELD PLAINS,NIL,103C EDGEFIELD PLAINS SINGAPORE 823103
11,821104,1.396805705,103.9050542,104A EDGEFIELD PLAINS SINGAPORE 821104,104A,EDGEFIELD PLAINS,NIL,104A EDGEFIELD PLAINS SINGAPORE 821104
12,822104,1.396608862,103.9053038,104B EDGEFIELD PLAINS SINGAPORE 822104,104B,EDGEFIELD PLAINS,NIL,104B EDGEFIELD PLAINS SINGAPORE 822104
13,821105,1.396941332,103.9057295,105A EDGEFIELD PLAINS SINGAPORE 821105,105A,EDGEFIELD PLAINS,NIL,105A EDGEFIELD PLAINS SINGAPORE 821105
