postal,latitude,longtitude,searchval,blk_no,road_name,building,address
821101,1.397946168,103.9059451,HDB-PUNGGOL,101A,PUNGGOL FIELD,HDB-PUNGGOL,101A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821101
822101,1.397847151,103.9064361,HDB-PUNGGOL,101B,PUNGGOL FIELD,HDB-PUNGGOL,101B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822101
823101,1.398090458,103.9065693,HDB-PUNGGOL,101C,PUNGGOL FIELD,HDB-PUNGGOL,101C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823101
824101,1.398484785,103.9061439,HDB-PUNGGOL,101D,PUNGGOL FIELD,HDB-PUNGGOL,101D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824101
821102,1.398833183,103.9057836,HDB-PUNGGOL,102A,PUNGGOL FIELD,HDB-PUNGGOL,102A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821102
822102,1.399085258,103.9054714,HDB-PUNGGOL,102B,PUNGGOL FIELD,HDB-PUNGGOL,102B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822102
823102,1.398761278,103.904939,HDB-PUNGGOL,102C,PUNGGOL FIELD,HDB-PUNGGOL,102C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823102
824102,1.398480708,103.9052498,HDB-PUNGGOL,102D,PUNGGOL FIELD,HDB-PUNGGOL,102D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824102
821103,1.398255318,103.904754,103A EDGEFIELD PLAINS SINGAPORE 821103,103A,EDGEFIELD PLAINS,NIL,103A EDGEFIELD PLAINS SINGAPORE 821103
822103,1.397731275,103.9046854,103B EDGEFIELD PLAINS SINGAPORE 822103,103B,EDGEFIELD PLAINS,NIL,103B EDGEFIELD PLAINS SINGAPORE 822103
823103,1.397266608,103.9045384,103C EDGEFIELD PLAINS SINGAPORE 823103,103C,EDGEFIELD PLAINS,NIL,103C EDGEFIELD PLAINS SINGAPORE 823103
821104,1.396805705,103.9050542,104A EDGEFIELD PLAINS SINGAPORE 821104,104A,EDGEFIELD PLAINS,NIL,104A EDGEFIELD PLAINS SINGAPORE 821104
822104,1.396608862,103.9053038,104B EDGEFIELD PLAINS SINGAPORE 822104,104B,EDGEFIELD PLAINS,NIL,104B EDGEFIELD PLAINS SINGAPORE 822104
821105,1.396941332,103.9057295,105A EDGEFIELD PLAINS SINGAPORE 821105,105A,EDGEFIELD PLAINS,NIL,105A EDGEFIELD PLAINS SINGAPORE 821105
822105,1.397206464,103.9060023,105B EDGEFIELD PLAINS SINGAPORE 822105,105B,EDGEFIELD PLAINS,NIL,105B EDGEFIELD PLAINS SINGAPORE 822105
823105,1.397672035,103.9055988,105C EDGEFIELD PLAINS SINGAPORE 823105,105C,EDGEFIELD PLAINS,NIL,105C EDGEFIELD PLAINS SINGAPORE 823105
824105,1.397175309,103.9052296,105D EDGEFIELD PLAINS SINGAPORE 824105,105D,EDGEFIELD PLAINS,NIL,105D EDGEFIELD PLAINS SINGAPORE 824105
821106,1.396604861,103.9083441,HDB-PUNGGOL,106A,PUNGGOL FIELD,HDB-PUNGGOL,106A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821106
822106,1.397094532,103.9079554,HDB-PUNGGOL,106B,PUNGGOL FIELD,HDB-PUNGGOL,106B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822106
823106,1.397366642,103.9075622,HDB-PUNGGOL,106C,PUNGGOL FIELD,HDB-PUNGGOL,106C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823106
824106,1.397626067,103.9073581,HDB-PUNGGOL,106D,PUNGGOL FIELD,HDB-PUNGGOL,106D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824106
821107,1.397198794,103.9068258,107A EDGEFIELD PLAINS SINGAPORE 821107,107A,EDGEFIELD PLAINS,NIL,107A EDGEFIELD PLAINS SINGAPORE 821107
822107,1.396837235,103.9072482,107B EDGEFIELD PLAINS SINGAPORE 822107,107B,EDGEFIELD PLAINS,NIL,107B EDGEFIELD PLAINS SINGAPORE 822107
823107,1.396621521,103.9076007,107C EDGEFIELD PLAINS SINGAPORE 823107,107C,EDGEFIELD PLAINS,NIL,107C EDGEFIELD PLAINS SINGAPORE 823107
